BALANCING_AREA_TIMEPOINTS_1,BALANCING_AREA_TIMEPOINTS_2,GenUnitLargestContingency
system_wide_balancing_area,2007011200,203.20347518309273
system_wide_balancing_area,2007011202,204.00934708883528
system_wide_balancing_area,2007011204,199.65866791883528
system_wide_balancing_area,2007011206,192.6093470888353
system_wide_balancing_area,2007011208,180.0
system_wide_balancing_area,2007011210,180.0
system_wide_balancing_area,2007011212,180.0
system_wide_balancing_area,2007011214,180.0
system_wide_balancing_area,2007011216,180.0
system_wide_balancing_area,2007011218,186.6839412945903
system_wide_balancing_area,2007011220,219.3591234530182
system_wide_balancing_area,2007011222,192.96125191883533
system_wide_balancing_area,2007011900,180.0
system_wide_balancing_area,2007011902,180.0
system_wide_balancing_area,2007011904,180.0
system_wide_balancing_area,2007011906,180.0
system_wide_balancing_area,2007011908,180.0
system_wide_balancing_area,2007011910,180.0
system_wide_balancing_area,2007011912,180.0
system_wide_balancing_area,2007011914,180.0
system_wide_balancing_area,2007011916,182.48663303251746
system_wide_balancing_area,2007011918,186.82443037371507
system_wide_balancing_area,2007011920,264.36840594005724
system_wide_balancing_area,2007011922,180.0
system_wide_balancing_area,2007021200,180.0
system_wide_balancing_area,2007021202,180.0
system_wide_balancing_area,2007021204,180.0
system_wide_balancing_area,2007021206,180.55182653481
system_wide_balancing_area,2007021208,180.0
system_wide_balancing_area,2007021210,180.0
system_wide_balancing_area,2007021212,180.0
system_wide_balancing_area,2007021214,180.0
system_wide_balancing_area,2007021216,188.78732410424013
system_wide_balancing_area,2007021218,217.26927172793896
system_wide_balancing_area,2007021220,203.9023229774561
system_wide_balancing_area,2007021222,180.0
system_wide_balancing_area,2007050200,180.0
system_wide_balancing_area,2007050202,180.0
system_wide_balancing_area,2007050204,180.0
system_wide_balancing_area,2007050206,180.0
system_wide_balancing_area,2007050208,180.0
system_wide_balancing_area,2007050210,180.0
system_wide_balancing_area,2007050212,180.0
system_wide_balancing_area,2007050214,180.0
system_wide_balancing_area,2007050216,180.0
system_wide_balancing_area,2007050218,185.67995223588406
system_wide_balancing_area,2007050220,180.221106291313
system_wide_balancing_area,2007050222,189.9000000000009
system_wide_balancing_area,2007092200,180.0
system_wide_balancing_area,2007092202,180.0
system_wide_balancing_area,2007092204,180.0
system_wide_balancing_area,2007092206,183.6663676988359
system_wide_balancing_area,2007092208,180.0
system_wide_balancing_area,2007092210,180.0
system_wide_balancing_area,2007092212,180.0
system_wide_balancing_area,2007092214,180.0
system_wide_balancing_area,2007092216,180.0
system_wide_balancing_area,2007092218,182.60062639224316
system_wide_balancing_area,2007092220,183.70163346527153
system_wide_balancing_area,2007092222,180.0
system_wide_balancing_area,2007102700,197.20934708883507
system_wide_balancing_area,2007102702,207.1256915420141
system_wide_balancing_area,2007102704,198.90736769883495
system_wide_balancing_area,2007102706,197.20934708883507
system_wide_balancing_area,2007102708,180.0
system_wide_balancing_area,2007102710,180.0
system_wide_balancing_area,2007102712,180.0
system_wide_balancing_area,2007102714,180.0
system_wide_balancing_area,2007102716,180.0
system_wide_balancing_area,2007102718,182.89119162283112
system_wide_balancing_area,2007102720,182.03058467163407
system_wide_balancing_area,2007102722,197.20934708883507
system_wide_balancing_area,2007121500,187.8663676988348
system_wide_balancing_area,2007121502,180.0
system_wide_balancing_area,2007121504,180.0
system_wide_balancing_area,2007121506,180.0
system_wide_balancing_area,2007121508,180.0
system_wide_balancing_area,2007121510,180.0
system_wide_balancing_area,2007121512,180.0
system_wide_balancing_area,2007121514,180.0
system_wide_balancing_area,2007121516,180.0
system_wide_balancing_area,2007121518,191.93788536760007
system_wide_balancing_area,2007121520,189.01775037253555
system_wide_balancing_area,2007121522,180.0
system_wide_balancing_area,2008022000,180.0
system_wide_balancing_area,2008022002,180.0
system_wide_balancing_area,2008022004,182.6500513253776
system_wide_balancing_area,2008022006,183.45113875388327
system_wide_balancing_area,2008022008,180.0
system_wide_balancing_area,2008022010,180.0
system_wide_balancing_area,2008022012,180.0
system_wide_balancing_area,2008022014,180.0
system_wide_balancing_area,2008022016,180.0
system_wide_balancing_area,2008022018,180.0
system_wide_balancing_area,2008022020,182.3598090016918
system_wide_balancing_area,2008022022,188.8663676988354
system_wide_balancing_area,2008041000,189.52917357800067
system_wide_balancing_area,2008041002,183.33904010000066
system_wide_balancing_area,2008041004,180.0
system_wide_balancing_area,2008041006,180.0
system_wide_balancing_area,2008041008,180.0
system_wide_balancing_area,2008041010,180.0
system_wide_balancing_area,2008041012,180.0
system_wide_balancing_area,2008041014,180.0
system_wide_balancing_area,2008041016,180.0
system_wide_balancing_area,2008041018,181.9045530296342
system_wide_balancing_area,2008041020,183.95275519896705
system_wide_balancing_area,2008041022,180.0
system_wide_balancing_area,2008061700,180.7219114899996
system_wide_balancing_area,2008061702,180.0
system_wide_balancing_area,2008061704,180.0
system_wide_balancing_area,2008061706,180.0
system_wide_balancing_area,2008061708,180.0
system_wide_balancing_area,2008061710,180.0
system_wide_balancing_area,2008061712,180.0
