DISCRETE_GEN_BLD_YRS_1,DISCRETE_GEN_BLD_YRS_2,BuildUnits
Oahu_AES,1992,1.0
Oahu_Airport_DSG,2013,1.0
Oahu_CC_152,2020,0.0
Oahu_CC_152,2021,0.0
Oahu_CC_152,2022,0.0
Oahu_CC_152,2023,0.0
Oahu_CC_152,2024,0.0
Oahu_CC_152,2025,0.0
Oahu_CC_152,2026,0.0
Oahu_CC_152,2027,0.0
Oahu_CC_152,2028,0.0
Oahu_CC_152,2029,0.0
Oahu_CC_152,2030,0.0
Oahu_CC_152,2031,0.0
Oahu_CC_152,2032,0.0
Oahu_CC_152,2033,0.0
Oahu_CC_152,2034,0.0
Oahu_CC_152,2035,0.0
Oahu_CC_152,2036,0.0
Oahu_CC_152,2037,0.0
Oahu_CC_152,2038,0.0
Oahu_CC_152,2039,0.0
Oahu_CC_152,2040,0.0
Oahu_CC_152,2041,0.0
Oahu_CC_152,2042,0.0
Oahu_CC_152,2043,0.0
Oahu_CC_152,2044,0.0
Oahu_CC_152,2045,0.0
Oahu_CIP_CT,2009,1.0
Oahu_H-Power,1989,1.0
Oahu_IC_Barge,2020,0.0
Oahu_IC_Barge,2021,0.0
Oahu_IC_Barge,2022,0.0
Oahu_IC_Barge,2023,0.0
Oahu_IC_Barge,2024,0.0
Oahu_IC_Barge,2025,0.0
Oahu_IC_Barge,2026,0.0
Oahu_IC_Barge,2027,0.0
Oahu_IC_Barge,2028,0.0
Oahu_IC_Barge,2029,0.0
Oahu_IC_Barge,2030,0.0
Oahu_IC_Barge,2031,0.0
Oahu_IC_Barge,2032,0.0
Oahu_IC_Barge,2033,0.0
Oahu_IC_Barge,2034,0.0
Oahu_IC_Barge,2035,0.0
Oahu_IC_Barge,2036,0.0
Oahu_IC_Barge,2037,0.0
Oahu_IC_Barge,2038,0.0
Oahu_IC_Barge,2039,0.0
Oahu_IC_Barge,2040,0.0
Oahu_IC_Barge,2041,0.0
Oahu_IC_Barge,2042,0.0
Oahu_IC_Barge,2043,0.0
Oahu_IC_Barge,2044,0.0
Oahu_IC_Barge,2045,0.0
Oahu_IC_MCBH,2020,0.0
Oahu_IC_MCBH,2021,0.0
Oahu_IC_MCBH,2022,0.0
Oahu_IC_MCBH,2023,0.0
Oahu_IC_MCBH,2024,0.0
Oahu_IC_MCBH,2025,0.0
Oahu_IC_MCBH,2026,0.0
Oahu_IC_MCBH,2027,0.0
Oahu_IC_MCBH,2028,0.0
Oahu_IC_MCBH,2029,0.0
Oahu_IC_MCBH,2030,0.0
Oahu_IC_MCBH,2031,0.0
Oahu_IC_MCBH,2032,0.0
Oahu_IC_MCBH,2033,0.0
Oahu_IC_MCBH,2034,0.0
Oahu_IC_MCBH,2035,0.0
Oahu_IC_MCBH,2036,0.0
Oahu_IC_MCBH,2037,0.0
Oahu_IC_MCBH,2038,0.0
Oahu_IC_MCBH,2039,0.0
Oahu_IC_MCBH,2040,0.0
Oahu_IC_MCBH,2041,0.0
Oahu_IC_MCBH,2042,0.0
Oahu_IC_MCBH,2043,0.0
Oahu_IC_MCBH,2044,0.0
Oahu_IC_MCBH,2045,0.0
Oahu_IC_Schofield,2018,6.0
Oahu_IC_Schofield,2020,0.0
Oahu_IC_Schofield,2021,0.0
Oahu_IC_Schofield,2022,0.0
Oahu_IC_Schofield,2023,0.0
Oahu_IC_Schofield,2024,0.0
Oahu_IC_Schofield,2025,0.0
Oahu_IC_Schofield,2026,0.0
Oahu_IC_Schofield,2027,0.0
Oahu_IC_Schofield,2028,0.0
Oahu_IC_Schofield,2029,0.0
Oahu_IC_Schofield,2030,0.0
Oahu_IC_Schofield,2031,0.0
Oahu_IC_Schofield,2032,0.0
Oahu_IC_Schofield,2033,0.0
Oahu_IC_Schofield,2034,0.0
Oahu_IC_Schofield,2035,0.0
Oahu_IC_Schofield,2036,0.0
Oahu_IC_Schofield,2037,0.0
Oahu_IC_Schofield,2038,0.0
Oahu_IC_Schofield,2039,0.0
Oahu_IC_Schofield,2040,0.0
Oahu_IC_Schofield,2041,0.0
Oahu_IC_Schofield,2042,0.0
Oahu_IC_Schofield,2043,0.0
Oahu_IC_Schofield,2044,0.0
Oahu_IC_Schofield,2045,0.0
Oahu_Kahe_1,1963,1.0
Oahu_Kahe_2,1964,1.0
Oahu_Kahe_3,1970,1.0
Oahu_Kahe_4,1972,1.0
Oahu_Kahe_5,1974,1.0
Oahu_Kahe_6,1981,1.0
Oahu_Kalaeloa_CC1,1989,1.0
Oahu_Kalaeloa_CC2,1991,1.0
Oahu_Kalaeloa_CC3,1991,1.0
Oahu_Waiau_10,1973,1.0
Oahu_Waiau_6,1961,1.0
Oahu_Waiau_7,1966,1.0
Oahu_Waiau_8,1968,1.0
Oahu_Waiau_9,1973,1.0
